games: 10, white: 50%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O Bd7 8. Nbd2
games: 10, white: 50%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O cxd4 8. Nbd2
games: 10, white: 50%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Bd3 cxd4 7. O-O Bd7 8. Nbd2
games: 10, white: 50%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Bd3 Bd7 7. O-O cxd4 8. Nbd2
games: 28, white: 60%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 7. Qe2 Nc6 
games: 71, white: 60%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Bd7 6. Bd3 Bb5 7. dxc5 Bxc5 8. b4
games: 71, white: 60%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Qb6 6. Bd3 Bb5 7. dxc5 Bxc5 8. b4
games: 18, white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 f6 7. O-O
games: 18, white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 f6 7. O-O
games: 18, white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 6. Bd3 cxd4 7. Bxh6 gxh6 
games: 18, white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 6. Bd3 cxd4 7. Bxh6 gxh6 8. cxd4
games: 18, white: 50%, black: 11%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 d5 5. e5 Nc6 6. Be2
games: 13, white: 61%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 d6 7. Bc4 dxe5 8. dxe5 Nc6 
games: 13, white: 61%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. Bc4 d6 7. cxd4 dxe5 8. dxe5 Nc6 
games: 53, white: 60%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Bd7 6. Bd3 Bb5 7. dxc5 Bxc5 8. b4 Bxd3 
games: 53, white: 60%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Qb6 6. Bd3 Bb5 7. dxc5 Bxc5 8. b4 Bxd3 
games: 61, white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 
games: 37, white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Bd7 8. b3
games: 37, white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. a3 c4 7. Nbd2 Bd7 8. b3
games: 37, white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3 Nc6 6. Nf3 c4 7. Nbd2 Bd7 8. b3
games: 16, white: 50%, black: 12%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 cxd4 6. cxd4 Nf6 7. Nc3 Qa5 8. Bc4 Be7 
games: 16, white: 62%, black: 25%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 Nf6 6. Qe2 Be7 7. e5
games: 22, white: 59%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 8. Qxd4 Qxd4 
games: 84, white: 58%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Bd7 6. Bd3 Bb5 7. dxc5
games: 84, white: 58%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Qb6 6. Bd3 Bb5 7. dxc5
