games: 131, white: 44%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 8. a3 Be7 9. Nc3, forced: 1
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3 cxd4 7. cxd4 e6 8. a3 Be7 , forced: 1
games: 239, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2, forced: 0
games: 3915, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3, forced: 0
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 8. a3 Be7 , forced: 1
games: 1503, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 , forced: 0
games: 1856, white: 29%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3, forced: 1
games: 517, white: 37%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 , forced: 0
games: 481, white: 35%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Be2 Na5 8. Nbd2, forced: 0
games: 1208, white: 35%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 , forced: 0
games: 1302, white: 34%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 , forced: 1
games: 1130, white: 35%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Nbd2, forced: 0
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 8. O-O Be7 9. Qe2 Nb6 10. Bb3, forced: 1
games: 1173, white: 35%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5, forced: 1
games: 408, white: 41%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 e6 , forced: 1
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 8. Qe2 Be7 9. O-O Nb6 10. Bb3, forced: 1
games: 261, white: 39%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Be3, forced: 1
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 d6 7. O-O cxd4 8. cxd4 Be7 9. Qe2 Nb6 10. Bb3, forced: 1
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3 cxd4 7. cxd4 e6 8. a3, forced: 1
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. O-O d6 7. d4 cxd4 8. cxd4 Be7 9. Qe2 Nb6 10. Bb3, forced: 1
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 8. a3, forced: 1
games: 261, white: 39%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Be3, forced: 0
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 d6 7. Bc4 e6 8. O-O Be7 9. Qe2 Nb6 10. Bb3, forced: 1
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 d6 7. Bc4 e6 8. Qe2 Be7 9. O-O Nb6 10. Bb3, forced: 1
games: 269, white: 38%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3, forced: 0
games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. Bc4 e6 7. cxd4 d6 8. O-O Be7 9. Qe2 Nb6 10. Bb3, forced: 1
