games: 83, white: 40%, black: 31%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Qd7 
games: 83, white: 40%, black: 31%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Qd7 
games: 132, white: 37%, black: 25%, forced: 0, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 
games: 21, white: 47%, black: 33%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Nb4 
games: 21, white: 47%, black: 33%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Nb4 
games: 21, white: 47%, black: 33%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Nb4 10. Rc1
games: 21, white: 47%, black: 33%, forced: 4, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Nb4 10. Rc1
games: 60, white: 35%, black: 36%, forced: 1, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3
games: 33, white: 33%, black: 39%, forced: 1, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Bb4 
games: 26, white: 34%, black: 42%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Bb4 9. Nf3 c5 
games: 29, white: 34%, black: 41%, forced: 1, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Bb4 9. Nf3
games: 20, white: 30%, black: 35%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Bg4 10. Be2 Qd7 
games: 20, white: 30%, black: 35%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Bg4 10. Be2 Qd7 
