games: 38, white: 50%, black: 13%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 Nd7 12. b4
games: 38, white: 50%, black: 13%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O Bc5 9. Nxc6 dxc6 10. Na4 Ba7 11. c4 Nd7 12. b4
games: 546, white: 31%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. e5
games: 183, white: 32%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O
games: 546, white: 31%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Nd4 10. e5
games: 134, white: 37%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 
games: 1347, white: 32%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 
games: 1063, white: 33%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3
games: 55, white: 36%, black: 20%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6
games: 63, white: 36%, black: 22%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4
games: 341, white: 33%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3
games: 55, white: 36%, black: 20%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6
