games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. h5 Nxh5 7. Rxh5, forced: 4
games: 41, white: 36%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 O-O 6. h5 c5 , forced: 4
games: 151, white: 29%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 , forced: 1
games: 46, white: 32%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Be2, forced: 2
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. h5 Nxh5 7. Rxh5, forced: 4
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. h5 Nxh5 7. Rxh5 gxh5 , forced: 5
games: 151, white: 29%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 , forced: 1
games: 37, white: 40%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 Bg4 , forced: 1
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. h5 Nxh5 7. Rxh5 gxh5 , forced: 5
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. h5 Nxh5 7. Rxh5 gxh5 8. Qxh5, forced: 6
games: 37, white: 37%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4, forced: 1
