white: 42%, black: 54%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 Nxe4 6. Qxd4
white: 36%, black: 54%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 g6 5. dxc5 Nc6 6. cxd6
white: 40%, black: 54%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 dxc3 6. O-O
white: 38%, black: 54%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nbd7 6. O-O
white: 45%, black: 54%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nc6 5. dxc5 d5 6. Bb5
white: 37%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. bxc3
white: 40%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Bc4 Nf6 5. cxd4
white: 46%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Ne2
white: 44%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. dxc5
white: 46%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Bd3 g6 
white: 43%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Be3 a6 
white: 43%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be3 Qc7 
white: 43%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Be3 a6 
white: 41%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Bd3 g6 6. f4
white: 41%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. f3 g6 6. Bd3
white: 43%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 d3 6. Qxd3
white: 46%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 6. Qb3
white: 42%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Bc4 Bg7 6. h3
white: 42%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Bd3 Bg7 6. Nxd4
white: 41%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. cxd4 g6 6. f4
white: 46%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Nf3 Qc7 6. dxe5
white: 41%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 cxd4 5. cxd4 g6 6. Bd3
white: 42%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 g6 5. dxc5 Bg7 6. cxd6
white: 46%, black: 53%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nf6 5. Bd3 e5 6. dxe5
white: 40%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Bc4 Nf6 
white: 42%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nf3 Nxe4 
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 dxc3 
white: 42%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. cxd4 Nxe4 
white: 43%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 d3 
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 g6 
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 dxc3 
white: 40%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nbd7 
white: 39%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nc6 5. dxc5 d5 
white: 47%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 g6 5. dxc5 Bg7 
white: 39%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nbd7 5. Be3 e5 
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nf6 5. Bd3 Bg4 
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nf3 Nxe4 6. Bd3
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. f4 Bg7 6. Nf3
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 dxc3 6. Nxc3
white: 40%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 g6 6. h3
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. cxd4 Nxe4 6. Bd3
white: 38%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 Nxe4 6. Qb3
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Qxd3 Nc6 6. Bf4
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 dxc3 6. Nxc3
white: 40%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 g6 6. h3
white: 47%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Nf3 Qc7 6. Na3
white: 47%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 e6 5. Be3 Nc6 6. dxc5
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Be3 a6 6. Nbd2
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be3 Qc7 6. Nbd2
white: 41%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Be3 a6 6. Nbd2
white: 47%, black: 52%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nf6 5. Bd3 e5 6. Na3
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. f4
white: 40%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. e5
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Nd2 g6 5. Ngf3
white: 40%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. e5 dxe5 
white: 41%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 e6 
white: 44%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 cxb2 
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. bxc3 Nc6 
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 e5 
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nc6 
white: 45%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 g6 5. Be3 Nbd7 
white: 45%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nbd7 5. Be3 g6 
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be2 Qc7 
white: 48%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 e5 5. Be2 Be7 
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nf3 g6 6. e5
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Nf6 6. e5
white: 39%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 g6 6. O-O
white: 40%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. e5 dxe5 6. Nxe5
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. cxd4 g6 6. e5
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 d3 6. O-O
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Bxd3 e6 6. Qe2
white: 38%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. c4 g6 6. Nc3
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4 Nf6 6. e5
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 g6 6. O-O
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 e5 6. d5
white: 39%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 g6 6. O-O
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nc6 6. d5
white: 39%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nc6 5. dxc5 d5 6. exd5
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Be3 a6 6. Bd3
white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Bf4 e5 6. Bg3
white: 43%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be2 Qc7 6. O-O
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be3 Qc7 6. Bd3
white: 42%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Be3 a6 6. Bd3
