white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 Bg7 7. gxf4 g4 8. Rg1 Bf6 9. e5
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 fxg3 8. O-O Be6 
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 fxg3 8. O-O Bh3 
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 fxg3 8. O-O Bh3 9. Bxf7+
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 Nc6 8. gxf4 g4 9. d5 gxf3 10. dxc6 Qh4+ 11. Kd2 Qf2+ 12. Ne2
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Be7 7. d3 Nh5 8. Nd5 Nc6 
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Bg4 7. d4 Nh5 8. Ne5 dxe5 9. Qxg4 Nf6 10. Qf5 Qxd4 
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 c6 6. d4 Nf6 
white: 20%, black: 80%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 c6 6. d4 Nf6 7. Bxf4
white: 22%, black: 77%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 Nc6 8. Bc4 f3 9. Be3 Nf6 10. Qd2 Qe7 
white: 22%, black: 77%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. Bc4 g4 7. Nh4 Bg7 8. d4 f3 9. Be3 Nf6 10. Qd2 Qe7 
white: 22%, black: 77%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 Bg7 7. gxf4 g4 8. Rg1 Bf6 9. Be3 gxf3 10. Qxf3
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 f3 8. Be3 Ne7 9. Qd2 h5 10. h3 d5 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Nc6 9. Qd2 Nf6 10. O-O-O Qe7 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 11. O-O-O
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Nf6 9. Bc4 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Nf6 9. Bc4 O-O 10. Qd2
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Nc6 9. Qd2 Nf6 10. O-O-O Qe7 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 11. O-O-O
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Nf6 9. Bc4 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Nf6 9. Bc4 O-O 10. Qd2
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Bg7 6. d4 Nc6 7. Bc4 Bg4 8. O-O Bxd4+ 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. d4 Bg7 7. Bc4 Bg4 8. O-O Bxd4+ 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Nc6 9. Qd2 Nf6 10. O-O-O Qe7 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Nf6 9. Qd2 Ng4 10. Bg1 O-O 11. O-O-O
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Nf6 9. Bc4 O-O 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Nf6 9. Bc4 O-O 10. Qd2
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 Bg7 7. gxf4 g4 8. Rg1 Bf6 9. Be3 gxf3 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Be6 7. Qe2
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nc6 6. Bxf4 g5 7. Be3 Bg7 8. Qd2 Bg4 9. Bc4 Nge7 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. d4 Nc6 7. Bxf4 Nh5 
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Be7 7. d3 Nh5 8. Nd5 Nc6 9. Nxf4
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Be7 7. d3 Nh5 8. O-O Bg4 9. Qe1
white: 25%, black: 75%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Nc6 7. d4 Nh5 8. d5 Na5 
white: 27%, black: 72%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Be7 7. d3 Nh5 8. Ne2 Bg4 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 f3 8. Be3 h5 9. h3 Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4 Bg7 7. d4 f3 8. h3 h5 9. Be3 Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Bc4 Nc6 9. Qd3 Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Bc4 Nc6 9. Qd3 Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Bc4 Nc6 9. Qd3 Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Bg2 Bg4 9. Be3 Nc6 10. Qd2 Qe7 11. Nd5 Qd7 12. O-O-O Nf6 
white: 28%, black: 71%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 fxg3 8. hxg3 Nc6 9. Qd3 Nf6 
