games: 84714, white: 47%, black: 45%, pgn:1. b3 Nf6 2. Bb2 d5 3. e3
games: 13686, white: 44%, black: 46%, pgn:1. b3 d5 2. Bb2 Bf5 3. e3 e6 
games: 13366, white: 44%, black: 46%, pgn:1. b3 e5 2. e3 Nc6 3. Bb2 g6 
games: 84714, white: 47%, black: 45%, pgn:1. b3 Nf6 2. e3 d5 3. Bb2
games: 11484, white: 45%, black: 47%, pgn:1. b3 d5 2. Bb2 Bf5 3. e3 c6 
games: 39787, white: 46%, black: 45%, pgn:1. b3 d5 2. Bb2 c6 3. e3
games: 13686, white: 44%, black: 46%, pgn:1. b3 d5 2. e3 Bf5 3. Bb2 e6 
games: 6608, white: 44%, black: 49%, pgn:1. b3 e5 2. e3 Nc6 
games: 11484, white: 45%, black: 47%, pgn:1. b3 d5 2. Bb2 c6 3. e3 Bf5 
games: 39787, white: 46%, black: 45%, pgn:1. b3 d5 2. e3 c6 3. Bb2
games: 11484, white: 45%, black: 47%, pgn:1. b3 d5 2. e3 c6 3. Bb2 Bf5 
games: 34604, white: 46%, black: 45%, pgn:1. b3 d5 2. Bb2 Bf5 
games: 11484, white: 45%, black: 47%, pgn:1. b3 d5 2. e3 Bf5 3. Bb2 c6 
games: 11649, white: 44%, black: 46%, pgn:1. b3 d5 2. e3 Nf6 3. Bb2 g6 
games: 11649, white: 44%, black: 46%, pgn:1. b3 Nf6 2. Bb2 d5 3. e3 g6 
games: 6379, white: 44%, black: 49%, pgn:1. b3 d5 2. e3 c6 
games: 11649, white: 44%, black: 46%, pgn:1. b3 Nf6 2. e3 g6 3. Bb2 d5 
games: 5820, white: 43%, black: 49%, pgn:1. b3 c5 2. Nf3 Nc6 3. e4 Nf6 
games: 11649, white: 44%, black: 46%, pgn:1. b3 Nf6 2. e3 d5 3. Bb2 g6 
games: 5820, white: 43%, black: 49%, pgn:1. b3 c5 2. e4 Nc6 3. Nf3 Nf6 
games: 6185, white: 44%, black: 49%, pgn:1. b3 d5 2. g3 c5 3. Bb2 Nc6 
games: 3712, white: 41%, black: 52%, pgn:1. b3 e5 2. e3 Nf6 
games: 6185, white: 44%, black: 49%, pgn:1. b3 c5 2. Bb2 Nc6 3. g3 d5 
games: 14874, white: 45%, black: 46%, pgn:1. b3 c5 2. Nf3 e6 3. e4 b6 
games: 3712, white: 41%, black: 52%, pgn:1. b3 Nf6 2. e3 e5 
games: 5881, white: 44%, black: 49%, pgn:1. b3 e5 2. g3 d5 3. Bg2
games: 14874, white: 45%, black: 46%, pgn:1. b3 c5 2. e4 e6 3. Nf3 b6 
games: 5881, white: 44%, black: 49%, pgn:1. b3 d5 2. g3 e5 3. Bg2
games: 14874, white: 45%, black: 46%, pgn:1. b3 e6 2. Nf3 c5 3. e4 b6 
games: 4109, white: 42%, black: 50%, pgn:1. b3 e5 2. e3 Nf6 3. Bb2
games: 3845, white: 42%, black: 51%, pgn:1. b3 c5 2. e4 Nc6 3. Nc3
games: 4109, white: 42%, black: 50%, pgn:1. b3 Nf6 2. e3 e5 3. Bb2
games: 7769, white: 45%, black: 48%, pgn:1. b3 c5 2. Bb2 Nc6 3. e3 e5 
games: 7769, white: 45%, black: 48%, pgn:1. b3 c5 2. e3 Nc6 3. Bb2 e5 
games: 4941, white: 43%, black: 49%, pgn:1. b3 Nf6 2. g3 g6 3. Bg2 Bg7 
games: 15295, white: 46%, black: 46%, pgn:1. b3 e5 2. Bb2 Nc6 3. e3 a6 
games: 15295, white: 46%, black: 46%, pgn:1. b3 e5 2. e3 Nc6 3. Bb2 a6 
games: 32708, white: 47%, black: 45%, pgn:1. b3 c5 2. Bb2 Nc6 3. e3
games: 18289, white: 47%, black: 46%, pgn:1. b3 e5 2. c4
games: 32708, white: 47%, black: 45%, pgn:1. b3 c5 2. e3 Nc6 3. Bb2
games: 6061, white: 44%, black: 48%, pgn:1. b3 d5 2. g3 c5 3. Bb2
games: 6102, white: 44%, black: 48%, pgn:1. b3 Nf6 2. e3 d6 3. Bb2 Nbd7 
games: 3979, white: 42%, black: 49%, pgn:1. b3 d5 2. Bb2 Bg4 3. g3
games: 2975, white: 41%, black: 52%, pgn:1. b3 e5 2. Bb2 d5 3. d3 Nc6 
games: 10541, white: 44%, black: 45%, pgn:1. b3 d5 2. Nf3 Bg4 
games: 2935, white: 41%, black: 52%, pgn:1. b3 d5 2. Nf3 c5 3. Bb2 f6 
games: 2935, white: 41%, black: 52%, pgn:1. b3 c5 2. Bb2 d5 3. Nf3 f6 
games: 2935, white: 41%, black: 52%, pgn:1. b3 c5 2. Nf3 d5 3. Bb2 f6 
games: 3223, white: 41%, black: 50%, pgn:1. b3 c5 2. e3 Nf6 
