games: 2331, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nc6 6. dxc5
games: 6108, white: 42%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nc6 6. Be2
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Bd7 6. Bd3
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Bd3
games: 3608, white: 41%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 a6 
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Bd3 Nc6 6. Nf3
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 Nf6 5. e5 Nd5 6. Nf3
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 Nc6 5. e5 Bd7 6. Nf3
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 Nf6 5. e5 Nd5 6. cxd4
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4
games: 2480, white: 41%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. dxc5 Bxc5 
games: 45911, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2
games: 3734, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 cxd4 6. cxd4
games: 14304, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. a3
games: 45911, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2
games: 14831, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3 a6 
games: 16759, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 
games: 3734, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 cxd4 5. cxd4 Nc6 6. f4
games: 3734, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. e5 Nc6 6. f4
games: 17191, white: 44%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nf6 6. Bd3
games: 8384, white: 46%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4
games: 8384, white: 46%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3
games: 3338, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Nge7 6. Nf3
games: 2420, white: 42%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 cxd4 
games: 17191, white: 44%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Bd3 Nf6 6. Nf3
games: 3338, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. f4 Nbc6 6. Nf3
games: 1191, white: 37%, black: 56%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 a6 5. Nxd4 Qc7 
games: 1191, white: 37%, black: 56%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 cxd4 5. Nxd4 Qc7 
games: 26218, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3
games: 6727, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3
games: 4509, white: 44%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 Nc6 5. Nf3
games: 1529, white: 40%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. f4
games: 6246, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 6. Bd3
games: 126650, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 
games: 3191, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 Nc6 5. e5
games: 8498, white: 44%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 5. cxd4 Nc6 6. Ngf3
games: 8498, white: 44%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. Ngf3 cxd4 6. cxd4
games: 1992, white: 40%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Bd3 c4 
games: 8498, white: 44%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nd2 Nc6 6. Ngf3
games: 54281, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 a6 
games: 7234, white: 45%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. a3 Qb6 
games: 7234, white: 45%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3 Nc6 
games: 8553, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 
games: 55306, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 a6 6. Bc4
games: 1588, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. f4 Qb6 6. Nf3
games: 55306, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 a6 6. Nxc3
games: 12972, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 
games: 2047, white: 41%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Bd3 Nf6 6. Ne2
games: 1531, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. f4 Qb6 
games: 55306, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3 a6 6. Nxc3
games: 1892, white: 40%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. exd5 exd5 6. Ngf3
games: 55306, white: 47%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3 a6 6. Nf3
games: 1195, white: 40%, black: 54%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3 Nc6 6. f4
games: 147030, white: 45%, black: 45%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 Nf6 5. e5 Nd5 
