games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. d4 Nf6 6. Bc4
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6 6. Bc4 b5 
games: 3067, white: 40%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 a6 
games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. d4
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 a6 6. Nf3 b5 
games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. d4
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 5. Nf3 Nf6 6. Bc4 b5 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 5. Bc4 Nf6 6. Nf3 b5 
games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 a6 6. Nf3
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 a6 6. Bc4 b5 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. d4 b5 
games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. d4
games: 7316, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d3
games: 11030, white: 43%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. d4 Nf6 6. Nf3
games: 5573, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6 6. Ne5 Nc6 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. d4 Nf6 6. Bc4 b5 
games: 2274, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. g3 Bg4 
games: 5573, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 5. Nf3 Nf6 6. Ne5 Nc6 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. d4 b5 
games: 5573, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 a6 6. Ne5 Nc6 
games: 2274, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. g3 Nf6 5. d4 Bg4 
games: 59838, white: 43%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. d4 b5 
games: 5573, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. d4 Nf6 6. Ne5 Nc6 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 a6 6. Nf3 b5 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. d4 b5 
games: 7498, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. d4 Nf6 6. Nf3 b5 
games: 3678, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. O-O
games: 1849, white: 39%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 a6 6. d4 Nc6 
games: 3678, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. O-O
games: 1849, white: 39%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 Nc6 6. d4 a6 
games: 2076, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. h3
games: 3678, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. O-O
games: 2076, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. h3
games: 1849, white: 39%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nc6 5. Be2 Nf6 6. d4 a6 
games: 2076, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. h3
games: 13664, white: 43%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 c6 6. Nf3
games: 2076, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. h3 a6 6. Nf3
games: 13664, white: 43%, black: 48%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Bc4 Nf6 6. Nf3
games: 3678, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. O-O
games: 1564, white: 39%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. h3 b5 
games: 2076, white: 40%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. h3
games: 1564, white: 39%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. h3 b5 
games: 13664, white: 43%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 c6 6. Nf3
games: 13664, white: 43%, black: 48%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 c6 5. d4 Nf6 6. Nf3
games: 1564, white: 39%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. h3 b5 
games: 1564, white: 39%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. h3 a6 6. Nf3 b5 
games: 1564, white: 39%, black: 52%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. h3 b5 
games: 5121, white: 42%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 a6 6. d4
games: 4156, white: 43%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 Bg4 
games: 3291, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 c6 
games: 4156, white: 43%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Bg4 5. Bc4 Nf6 
games: 4156, white: 43%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 Bg4 
games: 3291, white: 41%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 c6 5. Be2 Nf6 
games: 22987, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. d3 b5 
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. d3 b5 
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d3 a6 6. Nf3 b5 
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. d3 b5 
games: 2224, white: 40%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 a6 6. O-O
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. d3 Nf6 6. Nf3 b5 
games: 1114, white: 38%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. d3 b5 
games: 2365, white: 40%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Be2 c6 6. O-O
games: 2608, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. O-O b5 
games: 2365, white: 40%, black: 49%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 c6 5. Be2 Nf6 6. O-O
games: 2608, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 a6 5. Bc4 Nf6 6. O-O b5 
games: 2608, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 a6 6. O-O b5 
games: 2608, white: 42%, black: 50%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. Nf3 Nf6 6. O-O b5 
games: 9337, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 a6 
games: 9337, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 5. Bc4 Nf6 
games: 79171, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3
games: 9337, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4 a6 
games: 9337, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 a6 5. d4 Nf6 
