games: 1851, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. c3 Nc6 
games: 4724, white: 45%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ngf3 Be7 
games: 1851, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. c3 c5 6. Ngf3 Nc6 
games: 1184, white: 40%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. c3 Be7 6. Ngf3 cxd4 
games: 1184, white: 40%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ngf3 c5 6. c3 cxd4 
games: 1184, white: 40%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. c3 c5 6. Ngf3 cxd4 
games: 2983, white: 43%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. c3 cxd4 6. cxd4 dxe4 7. Nxe4
games: 1184, white: 40%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Bd3 Be7 6. Ngf3 cxd4 
games: 3585, white: 45%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ndf3 c5 6. Ne2 cxd4 
games: 2983, white: 43%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Bd3 cxd4 6. cxd4 dxe4 7. Nxe4
games: 4133, white: 45%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 Be7 6. c3
games: 4750, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3 Nxd2 6. Bxd2 c5 7. c3
games: 4750, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. c3 Nxd2 6. Bxd2 c5 7. Bd3
games: 3383, white: 43%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 
games: 980, white: 40%, black: 51%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. dxc5 Bxc5 7. Bb5+
games: 1901, white: 44%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Ngf3 Nc6 7. Nb3
games: 1113, white: 41%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ne2 dxe4 6. Nxe4 Nbd7 
games: 1901, white: 44%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 c5 6. c3 Nc6 7. Nb3
games: 1901, white: 44%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ngf3 Nc6 7. Nb3
games: 1901, white: 44%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Ngf3 Nc6 6. e5 Nd7 7. Nb3
games: 5761, white: 45%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3 Nxd2 
games: 4264, white: 43%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. Bb5+ Bd7 7. Qe2+
games: 12662, white: 46%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 Be7 6. Ngf3
games: 12662, white: 46%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 Be7 6. Bd3
games: 5517, white: 45%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3 Nxd2 6. Bxd2
games: 1014, white: 40%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Bd3
games: 12662, white: 46%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. e5 Nfd7 6. Ngf3
games: 3159, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. c3 Be7 6. Ngf3
games: 3159, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ngf3 c5 6. c3
games: 3159, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. c3 c5 6. Ngf3
games: 2249, white: 45%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 a6 
games: 3159, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. Bd3 Be7 6. Ngf3
games: 4913, white: 45%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3 Nxd2 6. Bxd2 c5 
games: 1837, white: 44%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. Ngf3 c5 6. e5
games: 3117, white: 44%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 Be7 5. c3 dxe4 6. Nxe4 Nbd7 
games: 1397, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 Bd6 6. Bd3
games: 4645, white: 45%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. Bd3
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 b6 7. Qe2
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 b6 6. c3 c5 7. Qe2
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 b6 6. Qe2 c5 7. c3
games: 1529, white: 43%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. exd5 exd5 6. dxc5
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Bd3 b6 7. Qe2
games: 1529, white: 43%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Bd3 c5 6. dxc5
games: 7996, white: 46%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 5. Bd3
games: 7984, white: 46%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. e5 Nfd7 6. c3 b6 7. Qe2
games: 1190, white: 43%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Bd3 b6 7. Qe2
