games: 74698, white: 48%, black: 44%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. h3 O-O 6. Nf3 e5 
games: 3006, white: 41%, black: 52%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. h3 O-O 6. Bd3 Nc6 7. Nf3
games: 1385847, white: 50%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 
games: 4982, white: 45%, black: 48%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. h4 c5 7. d5
games: 4982, white: 45%, black: 48%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 c5 6. d5 O-O 7. h4
games: 74521, white: 46%, black: 44%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 Bg4 
games: 74521, white: 46%, black: 44%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 Bg4 6. Be2 O-O 
games: 74521, white: 46%, black: 44%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 Bg4 
games: 3490, white: 44%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. h3 Na6 7. Be2
games: 3158, white: 42%, black: 50%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. h3 e5 7. Be2
games: 7824, white: 47%, black: 46%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Bg5 c5 7. d5
games: 3158, white: 42%, black: 50%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. h3 O-O 6. Nf3 e5 7. Be2
games: 3490, white: 44%, black: 49%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. h3 O-O 6. Nf3 Na6 7. Be2
games: 1094147, white: 49%, black: 43%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 
