games: 5674, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. c3 Bxd3 , forced: 2
games: 5330, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c3 c5 , forced: 1
games: 3953, white: 44%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Bg4 5. Bb5+ Nc6 , forced: 1
games: 1663, white: 42%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Bb5 Bf5 , forced: 1
games: 1254, white: 41%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Bb5 e6 , forced: 1
games: 349000, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 , forced: 0
games: 821, white: 38%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. Bd3, forced: 1
games: 1175, white: 41%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. g4 Bd7 , forced: 1
games: 858, white: 39%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 h5 , forced: 0
games: 4552, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 Bg7 5. Nf3, forced: 0
games: 2538, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 Bg7 5. Nf3 Bg4 , forced: 0
games: 844, white: 39%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 h5 5. f4, forced: 0
games: 844, white: 39%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 h5 4. Bd3 g6 5. f4, forced: 0
games: 2837, white: 43%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c3 Nd7 , forced: 1
games: 790, white: 40%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 h5 , forced: 1
games: 3358, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Be3 Nh6 , forced: 0
games: 2127, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c4 Ne7 , forced: 2
games: 1663, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3, forced: 0
games: 12842, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Be3, forced: 1
games: 1627, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. c3 Ne7 , forced: 1
games: 665, white: 38%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 h5 5. f4 Nh6 , forced: 0
games: 665, white: 38%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. e5 h5 4. Bd3 g6 5. f4 Nh6 , forced: 0
games: 36699, white: 46%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 , forced: 2
games: 1951, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. f4 Bxd3 , forced: 2
games: 98695, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 , forced: 0
games: 7648, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c4, forced: 1
games: 4154, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bc8 , forced: 0
games: 2609, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3 Bg4 , forced: 0
games: 804, white: 39%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3 Bg7 5. Be2 Bg4 , forced: 0
games: 1459, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Bf5 , forced: 1
games: 12748, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6 5. h4 h5 , forced: 0
games: 3400, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Be3 Qc7 , forced: 0
games: 1276221, white: 48%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5, forced: 0
games: 83201, white: 49%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3, forced: 1
games: 4878, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. a3, forced: 1
games: 24491, white: 48%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 , forced: 0
games: 663, white: 40%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6 5. f4 e6 , forced: 0
games: 3268, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 e6 , forced: 2
games: 1347, white: 42%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3 Bg7 5. Be2, forced: 0
games: 3268, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 e6 5. f4 Nc6 , forced: 2
games: 1276, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Be3 Nh6 , forced: 1
