games: 669, white: 33%, black: 19%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. e5
games: 648, white: 49%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3
games: 648, white: 39%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3 b5 6. Bd3 Nd7 
games: 648, white: 39%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 b5 5. Nf3 d6 6. Bd3 Nd7 
games: 648, white: 39%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3 b5 6. Bd3 Nd7 
games: 638, white: 39%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Be3
games: 637, white: 37%, black: 23%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 6. dxc5 Qa5 
games: 636, white: 37%, black: 23%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 6. dxc5
games: 635, white: 41%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nf6 6. f3
games: 635, white: 32%, black: 19%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. e5 dxe5 
games: 607, white: 39%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 
games: 601, white: 36%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. e5
games: 588, white: 32%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Na6 7. O-O c5 8. d5 Bg4 
games: 556, white: 33%, black: 35%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. Nf3 d6 5. Be3
games: 545, white: 40%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. f4
games: 533, white: 39%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nd7 
