games: 511, white: 56%, black: 35%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3 Nf2 8. Qe2+
games: 610, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+
games: 17108, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4
games: 610, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+
games: 16441, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 
games: 178, white: 64%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2
games: 610, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+
games: 610, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+
games: 33016, white: 52%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3
games: 184, white: 61%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bg4 6. Nf3 Qxd5 7. Nbd2
games: 210, white: 59%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 
games: 210, white: 59%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 
games: 210, white: 59%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 
games: 210, white: 59%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 
games: 574, white: 56%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 
