games: 4777, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 6. Bd3 dxc4 
games: 147612, white: 50%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 
games: 34901, white: 50%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bd6 6. Bd3 Nbd7 
games: 4777, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Bd3 c6 6. Nf3 dxc4 
games: 4777, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 6. Bd3 dxc4 
games: 34901, white: 50%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Nbd7 6. Nf3 Bd6 
games: 4777, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Be7 6. Nf3 dxc4 
games: 34901, white: 50%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Bd6 6. Nf3 Nbd7 
games: 2719, white: 56%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 6. Qc2 O-O 
games: 5389, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 6. Bd3 O-O 
games: 2719, white: 56%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 6. Qc2 O-O 
games: 5943, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 6. Bd2
games: 3239, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Nbd7 6. Qc2 Bb4 
games: 5389, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 O-O 6. Bd3 c6 
games: 5943, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 6. Bd2
games: 5389, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 6. Bd3 O-O 
games: 5389, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Bd3 O-O 6. Nf3 c6 
games: 3239, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 6. Qc2 Nbd7 
games: 5389, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Bd3 c6 6. Nf3 O-O 
games: 3239, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 6. Qc2 Nbd7 
games: 1853, white: 56%, black: 34%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Bd2 O-O 6. c5
games: 5785, white: 53%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. a3
games: 85957, white: 49%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Nbd7 6. Qc2
games: 5089, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. a3 Bxc3+ 6. bxc3 O-O 
games: 7128, white: 52%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. a3 Bxc3+ 6. bxc3
games: 4820, white: 54%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. a3 Bxc3+ 
games: 5087, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 6. b3
games: 5087, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 6. b3
games: 68808, white: 49%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Nbd7 6. Qc2 Bd6 
games: 68808, white: 49%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bd6 6. Qc2 Nbd7 
games: 76671, white: 49%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Nc6 
games: 38797, white: 49%, black: 42%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 
games: 2952, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bd6 6. Bd3 dxc4 
games: 2952, white: 55%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Bd6 6. Nf3 dxc4 
games: 4445, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 O-O 6. b3 c6 
games: 4445, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 6. b3 O-O 
games: 4445, white: 53%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 6. b3 O-O 
games: 1458, white: 57%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 6. Bd3 dxc4 
games: 1458, white: 57%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 6. Bd3 dxc4 
games: 233894, white: 48%, black: 43%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Nbd7 
