games: 1404, white: 57%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 Be7 6. Nf3
games: 1404, white: 57%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nf3 Be7 6. Nc3
games: 8029, white: 53%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nc3 Nf6 
games: 4746, white: 52%, black: 37%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. e5 Nd5 6. Qxd4
games: 3682, white: 54%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nc3 g6 
games: 12060, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 Nf6 6. Nc3
games: 10374, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nc3
games: 17691, white: 52%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 Nf6 
games: 10609, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 Nf6 
games: 3108, white: 53%, black: 37%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 e5 
games: 17408, white: 52%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 Nf6 6. Bc4
games: 45763, white: 51%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 
games: 42868, white: 51%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3
games: 17171, white: 51%, black: 40%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nc3 Bg7 
games: 826, white: 60%, black: 33%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 Nc6 6. d5
games: 7381, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nf3 a6 
games: 826, white: 60%, black: 33%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nc3 Nf6 6. d5
games: 23960, white: 51%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 Nf6 6. Be2
games: 7381, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3 e6 
games: 21820, white: 51%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nc3 Bg7 6. Nf3
games: 21820, white: 51%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Bg7 6. Nc3
games: 7110, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nc3 g6 6. Nf3
games: 9887, white: 52%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 g6 
games: 7110, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 g6 6. Nc3
games: 21820, white: 51%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4 Bg7 6. Nc3
games: 2226, white: 54%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 g6 6. d5
games: 795, white: 58%, black: 34%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nc3 g6 6. Nf3
games: 7953, white: 52%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 
games: 795, white: 58%, black: 34%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3 g6 6. Nc3
games: 1296, white: 53%, black: 34%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 e5 6. dxe5
games: 1359, white: 56%, black: 38%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 e6 6. f4
games: 5144, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3
games: 1359, white: 56%, black: 38%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 Nf6 6. f4
games: 6163, white: 52%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nf3 Nf6 
games: 1012, white: 56%, black: 36%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nc3 a6 6. Nf3
games: 2130, white: 53%, black: 39%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 e6 6. Bd3
games: 3845, white: 52%, black: 40%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Bg7 6. h3
games: 3845, white: 52%, black: 40%, forced: 3, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. h3 Bg7 6. Nf3
games: 2130, white: 53%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 Nf6 6. Bd3
games: 634, white: 60%, black: 32%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nf3 Nc6 6. d5
games: 9085, white: 51%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3
games: 634, white: 60%, black: 32%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nc6 5. Nf3 e6 6. d5
games: 5369, white: 52%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 a6 6. Nf3
games: 122008, white: 50%, black: 42%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4
games: 9085, white: 51%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4
games: 3845, white: 52%, black: 40%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4 Bg7 6. h3
games: 1831, white: 54%, black: 40%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 e6 5. Bd3
games: 5369, white: 52%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nc3 Nf6 6. Nf3
games: 5369, white: 52%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nf3 Nf6 6. Nc3
games: 703, white: 58%, black: 35%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 a6 6. f4
games: 703, white: 58%, black: 35%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nc3 Nf6 6. f4
games: 11086, white: 50%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 g6 6. Nf3
games: 11086, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nf3 g6 6. Nc3
games: 548, white: 61%, black: 34%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 Ne7 6. Nf3
games: 11086, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nc3 Nf6 6. Nf3
games: 20274, white: 50%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Bg7 
games: 20274, white: 50%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4 Bg7 
games: 11086, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Nf6 6. Nc3
games: 11086, white: 50%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. cxd4 g6 6. Nc3
games: 11086, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. cxd4 Nf6 6. Nc3
games: 491, white: 61%, black: 33%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. Nc3 a6 6. f4
games: 491, white: 61%, black: 33%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 e6 5. f4 a6 6. Nc3
games: 719, white: 56%, black: 35%, forced: 2, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nc3 a6 6. a4
games: 491, white: 61%, black: 33%, forced: 1, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. Nc3 e6 6. f4
