games: 28993, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 6. Ngf3
games: 28993, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5
games: 2569, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Bxc5 6. Qe2 Nc6 7. Ngf3
games: 2569, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. Ngf3 Nf6 7. Qe2
games: 2040, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. dxc5 Bxc5 6. Bd3 Nf6 
games: 2040, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nc6 6. Ngf3 Nf6 
games: 2040, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. Ngf3 Nf6 
games: 2667, white: 52%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Nc6 6. Bc4 Qd8 
games: 2667, white: 52%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 Qxd5 6. Bc4 Qd8 
games: 1988, white: 53%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 exd5 
games: 8268, white: 50%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3
games: 8268, white: 50%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3
games: 8268, white: 50%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3
games: 1337, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 dxe4 5. Nxe4
games: 34015, white: 49%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6 
games: 34015, white: 49%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 
games: 1224, white: 55%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nf6 6. Qe2 Nc6 7. c3
games: 1224, white: 55%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nc6 6. c3 Nf6 7. Qe2
games: 2295, white: 52%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nf6 6. Qe2 Nc6 
games: 1224, white: 55%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Bxc5 6. Qe2 Nc6 7. c3
games: 888, white: 57%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Nc6 6. Bc4 Qd6 
games: 2295, white: 52%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Bxc5 6. Qe2 Nc6 
games: 1224, white: 55%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Nc6 6. c3 Bxc5 7. Qe2
games: 5109, white: 50%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3
games: 888, white: 57%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 Qxd5 6. Bc4 Qd6 
games: 1224, white: 55%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. c3 Nf6 7. Qe2
games: 1254, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 dxe4 5. Nxe4 Qxd1+ 
games: 17837, white: 49%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5
games: 24989, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. e5 Nfd7 
games: 5784, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 cxd4 6. Bc4 Qd8 
games: 845, white: 57%, black: 34%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 a6 6. exd5 exd5 
games: 1257, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 dxe4 5. Nxe4 Qxd1+ 6. Kxd1
games: 27837, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. e5 Nfd7 6. c3
games: 5784, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Qd8 6. Bc4 cxd4 
games: 5784, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 Qxd5 6. Bc4 Qd8 
games: 12198, white: 49%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5
games: 10645, white: 49%, black: 43%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 
games: 1192, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Nc6 6. Bc4 Qd7 
games: 1192, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 Qxd5 6. Bc4 Qd7 
games: 1934, white: 52%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 cxd4 6. Bc4 Qd6 7. Qe2
games: 734, white: 58%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 a6 6. exd5 exd5 7. Bxc6+
games: 4393, white: 50%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 dxe4 6. Nxe4
games: 10015, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6 6. Bb5 Bd6 
games: 1934, white: 52%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 Qxd5 6. Bc4 Qd6 7. Qe2
games: 10015, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 6. Ngf3 Bd6 
games: 2594, white: 51%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 Be7 7. O-O
games: 10015, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 
games: 4948, white: 50%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6 6. Bb5 Bd6 7. dxc5
games: 1279, white: 53%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 Qb6 
games: 4948, white: 50%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 6. Ngf3 Bd6 7. dxc5
games: 2594, white: 51%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3 Be7 7. O-O
games: 1279, white: 53%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Qb6 6. Bd3 Nf6 
games: 1279, white: 53%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3 Qb6 
games: 89450, white: 48%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3
games: 1279, white: 53%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3 Qb6 
games: 4948, white: 50%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 7. dxc5
games: 1279, white: 53%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Qb6 6. Bd3 Nf6 
games: 2594, white: 51%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3 Be7 7. O-O
games: 4615, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 cxd4 6. Bc4 Qd8 7. O-O
games: 2070, white: 51%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 a6 5. dxc5 Bxc5 6. Bd3
games: 42656, white: 48%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3
games: 4615, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Qd8 6. Bc4 cxd4 7. O-O
games: 586, white: 59%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nf6 6. Qe2 dxe4 7. Nxe4
games: 1051, white: 54%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 Qxd5 5. Ngf3 Nc6 6. Bc4 Qd8 7. dxc5
games: 586, white: 59%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Bxc5 6. Qe2 dxe4 7. Nxe4
games: 4615, white: 50%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 Qxd5 6. Bc4 Qd8 7. O-O
games: 1051, white: 54%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 Qxd5 6. Bc4 Qd8 7. dxc5
games: 555, white: 58%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nf6 6. Qe2 dxe4 
games: 555, white: 58%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Bxc5 6. Qe2 dxe4 
games: 12526, white: 48%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3
games: 1195, white: 52%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 a6 5. dxc5 Bxc5 6. Bd3 Nc6 
games: 16666, white: 48%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nf6 6. Bb5+
games: 11455, white: 48%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 
games: 6469, white: 49%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 6. Bb5 Bd7 7. Nxc6
games: 12526, white: 48%, black: 44%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3
games: 956, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 dxe4 7. Nxe4
games: 556, white: 57%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nc6 6. c3
games: 915, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 dxe4 
games: 874, white: 54%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 exd5 6. Nxd4
games: 556, white: 57%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. c3
games: 16666, white: 48%, black: 41%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. exd5 exd5 6. Bb5+
games: 6469, white: 49%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Bb5+ Nc6 6. Nxd4 Bd7 7. Nxc6
games: 4436, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 
games: 915, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3 dxe4 
