games: 289, white: 65%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Bd7 8. a4, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. a4 Bd7 9. Ne5, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 O-O 8. Nf3 Bd7 9. Ne5, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 Bd7 8. Nf3 O-O 9. Ne5, forced: 2
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 7. a4 Be7 8. Nf3 O-O 9. Ne5, forced: 2
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. a4 Bd7 9. Ne5, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. a4 O-O 8. c3 Bd7 9. Ne5, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 O-O 8. Nf3 Bd7 9. Ne5, forced: 1
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 Bd7 8. Nf3 O-O 9. Ne5, forced: 2
games: 521, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. Nf3 O-O 8. c3 Bd7 9. Ne5, forced: 1
games: 4437, white: 57%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. a4, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 O-O 8. Nf3, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. a4, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. a4 O-O 8. c3, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3 O-O 8. Nf3, forced: 1
games: 1246, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. Nf3 O-O 8. c3, forced: 1
games: 601, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. Ne5, forced: 1
