games: 19, white: 31%, black: 52%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qc7 5. g4
games: 19, white: 31%, black: 52%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qc7 5. g4 Bd7 
games: 109, white: 42%, black: 32%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 
games: 103, white: 42%, black: 32%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3
games: 41, white: 31%, black: 31%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qc7 5. Nc3
games: 3269, white: 37%, black: 26%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4
games: 29, white: 37%, black: 24%, forced: 7, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bh7 7. e6 Qd6 8. exf7+ Kxf7 9. f4 Nf6 
games: 20, white: 30%, black: 35%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qc7 5. c4
games: 31, white: 38%, black: 22%, forced: 6, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bh7 7. e6 Qd6 8. exf7+ Kxf7 9. f4
games: 11, white: 27%, black: 45%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Bd7 6. c4 e6 
games: 11, white: 27%, black: 45%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Bd7 6. c4 e6 7. Nc3
games: 16, white: 25%, black: 31%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qc7 5. Nc3 a6 
games: 23, white: 39%, black: 34%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Bd7 6. Nc3 Qc8 
games: 12, white: 33%, black: 50%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Ne2 h5 
