games: 186, white: 40%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4
games: 186, white: 40%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4
games: 117, white: 41%, black: 34%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bc4 Nc6 
games: 1546, white: 38%, black: 22%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4
games: 1521, white: 37%, black: 21%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 
games: 1082, white: 42%, black: 26%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 
games: 267, white: 41%, black: 27%, forced: 3, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3
games: 267, white: 41%, black: 27%, forced: 3, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. h3 Bg7 6. c4 Nb6 7. Nc3
games: 267, white: 41%, black: 27%, forced: 3, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 g6 6. h3 Bg7 7. Nc3
games: 245, white: 42%, black: 28%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3 O-O 
games: 162, white: 35%, black: 25%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bd3
games: 153, white: 30%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 c6 6. h3
games: 245, white: 42%, black: 28%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. h3 Bg7 6. c4 Nb6 7. Nc3 O-O 
games: 245, white: 42%, black: 28%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 g6 6. h3 Bg7 7. Nc3 O-O 
games: 70, white: 24%, black: 27%, forced: 8, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 
games: 242, white: 38%, black: 25%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bc4 a6 
games: 3574, white: 41%, black: 24%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4
games: 327, white: 39%, black: 24%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bc4
games: 92, white: 41%, black: 34%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 
games: 2432, white: 41%, black: 24%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 
