games: 12, white: 66%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Bg4 5. h3 Bh5 6. dxc6
games: 171, white: 64%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Be2 a6 6. O-O
games: 33, white: 63%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 c6 5. Bd3 g6 6. h3
games: 108, white: 63%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bg4 5. Nc3 Qh5 6. Bf4
games: 24, white: 62%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bd3 Nxd5 
games: 56, white: 64%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bf4 e6 6. Nb5
games: 61, white: 63%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. Bd3 g6 6. O-O
games: 61, white: 63%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. Bd3 g6 6. O-O
games: 61, white: 63%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 Nxd5 5. Nf3 g6 6. O-O
games: 54, white: 61%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 cxd5 5. h3 a6 6. c4
games: 51, white: 64%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5 5. Nf3 e4 6. cxb7
games: 16, white: 62%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Nf3 a6 6. Bd3
games: 70, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. Be2 Nc6 6. a3
games: 26, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bf5 6. c4
games: 13, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bf5 6. g4
games: 70, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. Be2 Bg4 6. a3
games: 70, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Nc6 5. Nf3 Bg4 6. a3
games: 26, white: 61%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bg5 c6 6. Qd3
games: 55, white: 60%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. c4 Nb6 6. Be3
games: 41, white: 60%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 g6 6. Bc4
games: 55, white: 60%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. c4 Nb6 6. Be3
games: 20, white: 65%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 cxd5 5. c5 b6 6. Nf3
games: 33, white: 63%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 cxd5 5. h3 e6 6. f4
games: 33, white: 63%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Be3 c6 5. h3 Bf5 6. Nf3
games: 44, white: 61%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 g6 5. c4 Bg7 
games: 44, white: 61%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 g6 5. dxc6 Bg7 
games: 10, white: 60%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 g6 5. Bc4 Nb6 6. Bb5+
games: 27, white: 59%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 c6 5. Bd3 Nd7 6. Nxd5
games: 30, white: 56%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Nf3 a6 6. Bc4
games: 14, white: 64%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. Bd3 Nc6 6. O-O
games: 14, white: 64%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. c3 e6 6. Be2
games: 116, white: 63%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 g6 6. Be2
games: 73, white: 63%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bg5 e6 6. Bd3
games: 95, white: 62%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. Bd3 g6 
games: 95, white: 62%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. Bd3 g6 
games: 95, white: 62%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 Nxd5 5. Nf3 g6 
games: 24, white: 62%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 c6 5. c4 Qh5 6. Nc3
games: 435, white: 61%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e6 5. dxe6
games: 435, white: 61%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. dxe6
games: 489, white: 61%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e6 5. dxe6 Bxe6 6. Nf3
games: 489, white: 61%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. dxe6 Bxe6 6. Nf3
games: 96, white: 58%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 Bg4 5. Be2
games: 21, white: 57%, black: 28%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. a3 g6 6. c4
games: 21, white: 61%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Nc6 5. c4 Nf6 6. Be3
games: 603, white: 61%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Be2 Bf5 6. c4
games: 302, white: 61%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 g6 5. Nf3 Bg7 6. dxc6
