games: 358, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Ne5
games: 671, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. c3
games: 118, white: 60%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. Nf3
games: 15, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Qa5+ 6. c3
games: 97, white: 60%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. g4 Bc8 6. h4
games: 358, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Ne5
games: 589, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. c3 e6 
games: 25, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. dxc5 Rc8 
games: 28, white: 60%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Qa5+ 6. c3 Na6 
games: 20, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Qd2 e6 6. a3 Nbd7 
games: 20, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. Nf3 e6 6. a3 Nbd7 
games: 222, white: 59%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 h6 5. e3
games: 47, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 Nbd7 6. h4
games: 149, white: 59%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 Nbd7 6. Ne5
games: 270, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 5. Nf3 e6 6. Ne5
games: 47, white: 59%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 Nbd7 6. h4
games: 270, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. Ne5 Nbd7 6. e3
games: 149, white: 59%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 Nbd7 6. Ne5
games: 149, white: 59%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. Ne5 Nbd7 6. e3
games: 22, white: 59%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 h6 6. Ne5 g5 
games: 44, white: 59%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nf3 Nc6 6. Bb5 a6 
games: 22, white: 59%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 h6 6. Ne5 g5 
games: 22, white: 59%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Ne5 h6 6. e3 g5 
games: 22, white: 59%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 h6 5. e3 c6 6. Ne5 g5 
games: 44, white: 59%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c5 5. e3 Nc6 6. Bb5 a6 
games: 970, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5
games: 104, white: 58%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c5 5. e4
games: 984, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 
games: 369, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. f3 c5 6. Nb5
games: 34, white: 58%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 e6 6. Nge2
games: 156, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 c5 6. Ne5
games: 156, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nf3 a6 6. Ne5
games: 12, white: 58%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Qd2 Nbd7 6. h4
games: 369, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. e3 c5 6. Nb5
games: 34, white: 58%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 e6 6. Nge2
games: 156, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 c5 6. Ne5
games: 156, white: 58%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c5 5. e3 a6 6. Ne5
games: 12, white: 58%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 e6 5. f3 Nbd7 6. h4
games: 36, white: 58%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 Nbd7 6. g4 Be6 
games: 105, white: 58%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 h5 6. Bd3 Qd7 
games: 84, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. f3 h5 6. Bd3 e6 
games: 36, white: 58%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 Nbd7 6. g4 Be6 
games: 105, white: 58%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 h5 6. Bd3 Qd7 
games: 319, white: 57%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. h4 Nbd7 
games: 75, white: 57%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c5 5. e4 dxe4 
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. f3 h6 6. Nb5
games: 56, white: 57%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 h6 6. h3
games: 52, white: 57%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 5. Nf3 e6 6. Be2
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. e3 h6 6. Nb5
games: 56, white: 57%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 h6 6. h3
games: 56, white: 57%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. h3 h6 6. e3
games: 21, white: 57%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 a6 5. f3 h6 6. h4
games: 14, white: 57%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 a6 5. Nf3 e6 6. a3
games: 103, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. h4 h6 
games: 53, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Bd3 Bd6 6. Nge2
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 Nbd7 6. Ne5
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 5. Nf3 c6 6. Ne5
games: 347, white: 56%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 e6 6. h4
games: 94, white: 56%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 Nbd7 6. h4
games: 173, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 h6 6. h4
games: 173, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. h4 h6 6. Qd2
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 Nbd7 6. Ne5
