games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 h5 5. Be3
games: 15, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. h4
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. e5 f6 
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. h4 h6 
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 e6 6. e5 f6 
games: 46, white: 54%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3
games: 44, white: 54%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. h4
games: 73, white: 58%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. d5
games: 71, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Rb8 5. d3 b5 6. f4
games: 71, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Rb8 5. Bg2 b5 6. f4
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 e5 6. d3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Nh3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. Nh3 Bg7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3 Bg7 6. d3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Nh3 Nge7 
games: 235, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 Nf6 6. h3
games: 81, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. f4
games: 235, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 Bg7 5. Bg2 Nf6 6. h3
games: 680, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Be3 Nge7 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3 d6 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. Nh3 h5 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 d6 6. f4 h5 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 e5 6. d3 d6 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. d3 e5 6. Nh3 Bg7 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. f4 Bg7 6. Nh3 h5 
games: 680, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Be3 Nge7 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Nh3 d6 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 d6 6. Nh3 Bg7 
games: 680, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. Be3 Bg7 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3 Bg7 6. d3 d6 
games: 680, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Be3 Nge7 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Nh3 d6 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 e5 6. Nh3 Bg7 
games: 810, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Nge7 6. Be3 d6 
games: 810, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. Be3 Nge7 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 d6 6. Nh3 h5 
games: 16, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. Bg2 Bg7 6. Nh3 h5 
games: 99, white: 55%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. f4 d6 6. Nh3
games: 99, white: 55%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. f4 Bg7 6. Nh3
games: 99, white: 55%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. d3 Bg7 6. Nh3
games: 27, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e6 6. h3
games: 148, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Be3 e6 6. Bxc5
games: 1045, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. Be3
games: 12807, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 b6 
games: 12807, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 b6 
games: 12807, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Be3 e6 6. Bg2 b6 
games: 12807, white: 55%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Bg7 6. Be3 b6 
games: 11, white: 45%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Rb8 5. Be3
games: 17, white: 58%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. f4 e6 6. Nh3
games: 17, white: 58%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. Bg2 e6 6. Nh3
games: 12, white: 58%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. Nge2 e5 6. d3 h5 
games: 12, white: 58%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nge2 d6 6. d3 h5 
games: 12, white: 58%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 e5 5. Bg2 d6 6. d3 h5 
games: 333, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 h5 5. h3 Bg7 
games: 1280, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3
games: 1280, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 e5 6. d3
games: 1280, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Nh3
games: 1280, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3 Bg7 6. d3
games: 1280, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Nh3
games: 41, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. f4 d6 6. Nh3 e6 
games: 41, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. f4 Bg7 6. Nh3 e6 
games: 41, white: 56%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. d3 Bg7 6. Nh3 e6 
games: 882, white: 55%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4
games: 18, white: 55%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. Be3
games: 196, white: 55%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 Nf6 6. h3 O-O 
games: 269, white: 55%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. Nge2 Nf6 6. O-O e5 
games: 196, white: 55%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 Bg7 5. Bg2 Nf6 6. h3 O-O 
games: 631, white: 54%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. e5
games: 631, white: 54%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 e6 6. e5
games: 50, white: 56%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 Nf6 6. f4 d5 
games: 50, white: 56%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 Nf6 6. f4 d5 
games: 69, white: 56%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Nf3 Nf6 6. Bg2 d5 
games: 631, white: 54%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 cxd4 
games: 414, white: 54%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. d3 Nf6 6. Nh3
games: 414, white: 54%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Nf6 6. Nh3
games: 1591, white: 54%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Nge7 6. Be3
games: 19, white: 52%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3 h5 
games: 19, white: 52%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 e5 6. d3 h5 
games: 19, white: 52%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Nh3 h5 
games: 19, white: 52%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3 Bg7 6. d3 h5 
games: 19, white: 52%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Nh3 h5 
games: 238, white: 55%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. h4 Nge7 
