white: 58%, black: 8%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. c3 Bg6 8. Nbd2 Nf5 9. Ne1 c5 
white: 58%, black: 8%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. O-O Bg6 7. c3 Nd7 8. Nbd2 Nf5 9. Ne1 c5 
white: 57%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. a3
white: 57%, black: 7%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nd2 e6 5. Nb3 c5 6. dxc5 Bxc5 7. Bb5+
white: 56%, black: 21%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. a3 Nxe5 
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. O-O Nd7 7. c4 Ne7 
white: 56%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. c3 Bg6 8. Nbd2
white: 56%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Ne7 6. O-O Bg6 7. c3 Nd7 8. Nbd2
white: 56%, black: 10%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Ne2 cxd4 5. Nxd4 Nc6 6. c4 dxc4 7. Nxc6 Qxd1+ 8. Kxd1 bxc6 9. Bxc4 Bf5 
white: 56%, black: 23%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 c5 7. h4 cxd4 8. Nxd4 h5 9. f4 hxg4 10. Bb5+ Nd7 11. f5
white: 56%, black: 6%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nd2 e6 5. Nb3 Nd7 6. Nf3 h6 7. Be2 Ne7 8. O-O Qc7 9. Bd2 g5 10. a4 O-O-O 11. Ba5
white: 56%, black: 6%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nd2 e6 5. Nb3 Nd7 6. Nf3 h6 7. Be2 Ne7 8. O-O Qc7 9. a4 g5 10. Bd2 O-O-O 11. Ba5
white: 55%, black: 5%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. f4 Nh6 
white: 55%, black: 24%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 6. O-O Nd7 
white: 55%, black: 17%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Bg6 7. a4 Ne7 8. a5 Nf5 
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 Qb6 5. Nge2
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c4 cxd4 5. Nf3 e6 6. Nxd4 Bc5 
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Ne2 cxd4 5. Nxd4 e6 6. c4 Bc5 
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Bg6 7. a4 Ne7 8. a5
white: 54%, black: 13%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. dxc5 Bg4 6. c3 e6 7. Be3 Nge7 8. Nbd2
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5 Qxd5 7. Nc3 Bxf3 8. Nxd5
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 Nd7 6. O-O Ne7 7. Nbd2 Nc8 8. Re1 Be7 
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5 Qxd5 7. Nc3 Bxf3 8. Nxd5 Bxd1 
white: 54%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5 Qxd5 7. Nc3 Bxf3 8. Nxd5 Bxd1 9. Nc7+
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 6. Nge2 c5 7. h4 cxd4 8. Nxd4 h5 9. f4 hxg4 
white: 54%, black: 8%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nd2 e6 5. Nb3 Nd7 6. Nf3 h6 7. Be2 Ne7 8. O-O Qc7 9. Bd2 g5 10. a4 O-O-O 
white: 54%, black: 8%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nd2 e6 5. Nb3 Nd7 6. Nf3 h6 7. Be2 Ne7 8. O-O Qc7 9. a4 g5 10. Bd2 O-O-O 
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. a3 Nc6 6. Nf3 Bxc5 7. b4 Bb6 8. Bd3 Nge7 9. O-O Ng6 10. Bb2 Nf4 11. Re1
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. a3 Nc6 6. Nf3 Bxc5 7. b4 Bb6 8. Bd3 Nge7 9. Bb2 Ng6 10. O-O Nf4 11. Re1
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3 Bxc5 6. a3 Nc6 7. b4 Bb6 8. Bd3 Nge7 9. O-O Ng6 10. Bb2 Nf4 11. Re1
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3 Bxc5 6. a3 Nc6 7. b4 Bb6 8. Bd3 Nge7 9. Bb2 Ng6 10. O-O Nf4 11. Re1
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3 Nc6 6. a3 Bxc5 7. b4 Bb6 8. Bd3 Nge7 9. O-O Ng6 10. Bb2 Nf4 11. Re1
white: 54%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Nf3 Nc6 6. a3 Bxc5 7. b4 Bb6 8. Bd3 Nge7 9. Bb2 Ng6 10. O-O Nf4 11. Re1
