games: 43400, white: 48%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 cxd4 
games: 42501, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Bd7 6. Be2
games: 42501, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2
games: 41930, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4
games: 41392, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 
games: 38407, white: 45%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 exd5 
games: 36836, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 
games: 35489, white: 48%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 
games: 35090, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 cxd4 
games: 35090, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 cxd4 
games: 33957, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 cxd4 
games: 31351, white: 50%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5
games: 31127, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 cxd4 5. cxd4 exd4 
games: 31127, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 exd4 5. cxd4 cxd4 
games: 30563, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d5 
games: 30441, white: 49%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4
games: 27477, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Nge7 6. Bd3
games: 27477, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Bd3
games: 27300, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 
games: 27059, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 
games: 26534, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4
games: 26351, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 
