games: 15, white: 53%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4 d5 7. e5 Nd7 
games: 13, white: 53%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 d5 7. e5 Nd7 8. Bf4
games: 86, white: 48%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Bf4 b5 7. O-O-O
games: 101, white: 47%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Bf4 b5 
games: 13, white: 46%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 8. Bg5 Be7 9. Bxe7
games: 49, white: 44%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Bf4 b5 7. Nf3
games: 49, white: 44%, black: 46%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 b5 7. Bf4
games: 20, white: 55%, black: 45%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. f4
games: 91, white: 49%, black: 45%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. f4
games: 172, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 d5 
games: 18, white: 55%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 d5 7. e5
games: 111, white: 53%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 Qa5 7. O-O-O Bb4 
games: 101, white: 52%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 Bb4 7. Ne2 Qa5 8. O-O-O
games: 101, white: 52%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 Qa5 7. O-O-O Bb4 8. Nge2
games: 210, white: 51%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 
games: 29, white: 51%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 a6 7. a3
games: 29, white: 51%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 Nf6 7. a3
games: 68, white: 48%, black: 44%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 a6 7. O-O-O b5 
games: 16, white: 56%, black: 43%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 
games: 37, white: 54%, black: 43%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 d6 6. Nf3 a6 7. Bf4 e5 8. Bg5
games: 1051, white: 49%, black: 43%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3
games: 84, white: 51%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 a6 7. Nf3
games: 84, white: 51%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 a6 7. Bf4
games: 84, white: 51%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 a6 6. Nf3 Nf6 7. Bf4
games: 2728, white: 50%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 
games: 28, white: 50%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 d5 7. exd5 Nb4 
games: 119, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Bf4 Bb4 7. Ne2 O-O 8. O-O-O Qa5 
