games: 12, white: 33%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. O-O Nge7 9. b4 cxb4 
games: 12, white: 33%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. Bd3 Nh6 8. b3 Bd7 9. Be3 Be7 
games: 12, white: 33%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Be3 Nh6 9. Bd3 Be7 
games: 12, white: 33%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Nh6 8. Bd3 Bd7 9. Be3 Be7 
games: 40, white: 32%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Qc2 Bd7 8. Be3 Nge7 9. Nbd2
games: 30, white: 30%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Bb2 f6 
games: 44, white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Qc2 Bd7 8. Be3 Nge7 
games: 594, white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 
games: 594, white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 
games: 16, white: 31%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. h5 fxe5 
games: 67, white: 31%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Bd3 cxd4 
games: 16, white: 31%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. a4 cxd4 8. cxd4 Bd7 9. Bb5 Rc8 
