games: 179, white: 43%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. h3 a6 6. Bg5
games: 563, white: 43%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 b5 6. Bd3
games: 187, white: 42%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be2 a6 6. Be3
games: 842, white: 42%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bc4 Nc6 6. Be3
games: 28, white: 42%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 h6 5. Bh4 Nbd7 6. Bc4
games: 244, white: 41%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. h3 a6 6. Be2
games: 464, white: 44%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Nbd7 6. Nge2
games: 464, white: 44%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Nge2 Nbd7 6. Be3
games: 464, white: 44%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 c6 6. Nge2
games: 464, white: 44%, black: 51%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Nge2 c6 6. Be3
games: 2635, white: 43%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 b5 6. a3
games: 686, white: 43%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 b5 6. a3
games: 1397, white: 44%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. f3 c6 6. Bc4
games: 98, white: 44%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bc4 Nxe4 6. O-O
games: 1398, white: 44%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Be3 c6 6. Bc4
games: 503, white: 44%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 b5 6. g4
games: 1398, white: 44%, black: 50%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Bg7 6. Bc4
games: 335, white: 42%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. a4 Bg7 6. Bd3
games: 335, white: 42%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Bd3 Bg7 6. a4
games: 122, white: 41%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Bd3 b5 
games: 21, white: 47%, black: 52%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. Nf3 h6 6. Bxf6
games: 12586, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Nbd7 
games: 12586, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 c6 
games: 371, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 Nc6 6. g4
games: 325, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 Nc6 6. Qd2
games: 12509, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 Nbd7 6. f3
games: 333, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Ng4 5. Bg5 h6 6. Bf4
games: 12509, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. Qd2 c6 6. f3
games: 817, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bc4 Nc6 6. Bg5
games: 409, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bc4 O-O 6. Bg5
games: 12511, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 Nbd7 6. Qd2
games: 12511, white: 44%, black: 49%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 c6 6. Qd2
games: 20, white: 40%, black: 45%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bc4 Qa5 
games: 450, white: 44%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 c6 5. Bc4 d5 
games: 150, white: 44%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. Nf3 h6 6. Bh4
games: 674, white: 44%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 Nbd7 6. Qd2
games: 674, white: 44%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Be3 a6 6. Qd2
games: 719, white: 43%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Nf3 a6 6. a4
games: 719, white: 43%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 a6 5. Nf3 Bg7 6. a4
games: 719, white: 43%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Be3 a6 6. a4
games: 719, white: 43%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Be3 Bg7 6. a4
