games: 19, white: 36%, black: 63%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Bd6 6. d4 Nxc6 7. Bd3 Bg4 
games: 19, white: 36%, black: 63%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d4 Bd6 6. dxc6 Nxc6 7. Bd3 Bg4 
games: 102, white: 35%, black: 63%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Be7 5. Nf3
games: 74, white: 33%, black: 63%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6 Bxd6 
games: 19, white: 15%, black: 63%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Qe7+ 7. Qe2 Qxe2+ 
games: 16, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 c6 6. d6 Bxd6 
games: 16, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. Nc3 Nf6 6. d6 Bxd6 
games: 16, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 c6 5. Nf3 Nf6 6. d6 Bxd6 
games: 24, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 6. Qe2+ Kf8 7. O-O h6 
games: 24, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Nf6 6. Qe2+ Kf8 7. O-O h6 
games: 24, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Bd6 6. Qe2+ Kf8 7. O-O h6 
games: 24, white: 37%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Nf6 6. Qe2+ Kf8 7. O-O h6 
games: 53, white: 33%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6
games: 114, white: 32%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. d4 Bb4 7. Qd3 O-O 
games: 114, white: 32%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Nxd5 6. Nf3 Bb4 7. Qd3 O-O 
games: 129, white: 32%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bd6 6. Nf3 O-O 7. Be2 Nbd7 
games: 114, white: 32%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bb4 6. Nf3 Nxd5 7. Qd3 O-O 
games: 27, white: 29%, black: 62%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Qh4+ 5. Ke2 Bg4+ 6. Nf3 Bd6 
games: 13, white: 38%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nc3 Ne7 
games: 13, white: 38%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Nc3 Nb6 7. Bb3 Bc5 
games: 13, white: 38%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4 Nb6 7. Bb3 Bc5 
games: 13, white: 38%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Nf6 7. Be2 Bc5 
games: 13, white: 38%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Nc3 Nb6 7. Bb3 Bc5 
games: 366, white: 33%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bb5+ c6 5. dxc6 Nxc6 6. d4 Bd6 7. Nf3 Ne7 
games: 67, white: 31%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Nf6 7. Bc4 Bg4 
games: 287, white: 29%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Nc3 Qe7+ 
games: 287, white: 29%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4 Qe7+ 
games: 287, white: 29%, black: 61%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Nc3 Qe7+ 
games: 15, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Be7 
games: 10, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Qh4+ 5. Kd2 Nf6 6. c4 c6 
games: 10, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 6. Bb3 O-O 7. O-O a5 
games: 15, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. d4 Nxc3 7. bxc3 g5 
games: 10, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Nf6 6. Bb3 O-O 7. O-O a5 
games: 10, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Bd6 6. Bb3 O-O 7. O-O a5 
games: 10, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Nf6 6. Bb3 O-O 7. O-O a5 
games: 15, white: 40%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Nxd5 6. Nf3 Nxc3 7. bxc3 g5 
games: 33, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Qh4+ 5. Kf1 Bd6 6. d4 Ne7 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. d4 c6 6. c4 cxd5 7. Nc3 Ne7 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. c4 c6 6. d4 cxd5 7. Nc3 Ne7 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. c4 c6 6. Nc3 Ne7 7. d4 cxd5 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d4 Bd6 6. c4 cxd5 7. Nc3 Ne7 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Bd6 6. d4 cxd5 7. Nc3 Ne7 
games: 78, white: 39%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Bd6 6. Nc3 Ne7 7. d4 cxd5 
games: 15, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. Nc3 g5 
games: 15, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 c6 5. Nf3 g5 
games: 15, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bb5+ Bd7 5. Bc4 Bd6 
games: 133, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. d4 Bb4 7. Qd3
games: 133, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Nxd5 6. Nf3 Bb4 7. Qd3
games: 133, white: 33%, black: 60%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bb4 6. Nf3 Nxd5 7. Qd3
games: 42, white: 38%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Bxd5 Qxd5 7. O-O Nc6 
games: 42, white: 38%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Bxd5 Qxd5 7. O-O Nc6 
games: 599, white: 36%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Qh4+ 
games: 169, white: 36%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Nc3 c6 6. dxc6 Nxc6 7. Bc4 Nf6 
games: 169, white: 36%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Bd6 7. Bc4 Nf6 
games: 169, white: 36%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. Nc3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 
games: 169, white: 36%, black: 59%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 c6 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 
games: 12, white: 41%, black: 58%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. c4 c6 6. dxc6 Nxc6 7. d5 Ne5 
games: 172, white: 36%, black: 58%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bb5+ c6 5. Qe2+ Be7 6. dxc6 Nxc6 
games: 17, white: 35%, black: 58%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Qe7+ 
games: 40, white: 40%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6 Bxd6 6. Bc4 Nf6 
games: 177, white: 40%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Nc3 c6 6. dxc6 Nxc6 7. Bb5 Ne7 
games: 177, white: 40%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Bd6 7. Bb5 Ne7 
games: 177, white: 40%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. Nc3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 
games: 177, white: 40%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 c6 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 
games: 56, white: 39%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Nc3 Be6 7. Bb3 Nc6 
games: 56, white: 39%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4 Be6 7. Bb3 Nc6 
games: 56, white: 39%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Nc3 Be6 7. Bb3 Nc6 
games: 210, white: 38%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Qh4+ 5. Ke2 Bg4+ 
games: 21, white: 38%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Qh4+ 5. Kf1 Bd6 6. Nf3 Qd8 
games: 385, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Bxf4
games: 375, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Bxf4 Nxd5 
games: 211, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Qh4+ 5. Ke2 Bg4+ 6. Nf3
games: 153, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bd6 6. Nf3 O-O 7. Bd3
games: 45, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. c4 c6 6. d4 cxd5 7. Bxf4 Be7 
games: 45, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Nf6 6. d4 cxd5 7. Bxf4 Be7 
games: 45, white: 37%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. c4 c6 6. Nf3 cxd5 7. Bxf4 Be7 
games: 387, white: 36%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Nf6 7. Bc4
games: 77, white: 32%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Ne7 6. O-O O-O 7. Nc3 Ng6 
games: 77, white: 32%, black: 57%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Ne7 6. O-O O-O 7. Nc3 Ng6 
games: 16, white: 43%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Qe7+ 6. Kf2
games: 16, white: 43%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Qe7+ 6. Kf2
games: 32, white: 40%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6 Bxd6 6. Bc4
games: 208, white: 40%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Nc3 c6 6. dxc6 Nxc6 7. Bb5
games: 208, white: 40%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Bd6 7. Bb5
games: 208, white: 40%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. Nc3 Bd6 6. dxc6 Nxc6 7. Bb5
games: 208, white: 40%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 c6 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5
games: 103, white: 39%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 c6 6. dxc6 Nxc6 7. O-O Bd6 
games: 23, white: 39%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Bd6 6. Qe2+ Be7 7. d4 O-O 
games: 23, white: 39%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Nc3 Nf6 6. Qe2+ Be7 7. d4 O-O 
games: 103, white: 39%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Bc4 Nf6 7. O-O Bd6 
games: 103, white: 39%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 c6 6. dxc6 Nxc6 7. O-O Bd6 
games: 386, white: 38%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. d4 Bb4 7. Bd2 Bxc3 
games: 386, white: 38%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Nxd5 6. Nf3 Bb4 7. Bd2 Bxc3 
games: 386, white: 38%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bb4 6. Nf3 Nxd5 7. Bd2 Bxc3 
games: 108, white: 36%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. c4 c6 6. d4 Bb4+ 7. Bd2 Bxd2+ 
games: 108, white: 36%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Nf6 6. d4 Bb4+ 7. Bd2 Bxd2+ 
games: 108, white: 36%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. c4 c6 6. Nf3 Bb4+ 7. Bd2 Bxd2+ 
games: 23, white: 34%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Qh4+ 5. Kf1 Bd6 6. Nf3 Qh6 7. Nc3 Ne7 
games: 373, white: 34%, black: 56%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bb5+ c6 5. Qe2+ Be7 6. dxc6 Nxc6 7. Nf3 Nf6 
games: 45, white: 42%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. d4 Bd6 
games: 45, white: 42%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. d4 Nf6 
games: 38, white: 42%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Qh4+ 5. Kf1 Nf6 6. Nc3
games: 38, white: 42%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. d4 c6 6. Bd3 Nf6 
games: 38, white: 42%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d4 Bd6 6. Bd3 Nf6 
games: 34, white: 41%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6 Bxd6 6. Bc4 Nf6 7. O-O
games: 34, white: 41%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d6 Bxd6 6. Bc4 Nf6 7. O-O O-O 
games: 27, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Be7 
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. d4 c6 6. c4 cxd5 7. c5
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. c4 c6 6. d4 cxd5 7. c5
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d4 Bd6 6. c4 cxd5 7. c5
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Bd6 6. d4 cxd5 7. c5
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. d4 c6 6. c4 cxd5 7. c5 Bc7 
