white: 61%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 Nd4 6. Nh3 Nec6 
white: 61%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. d3 d6 6. Be3 Be7 
white: 61%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. d3 g6 6. h4 h5 
white: 61%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 Nf6 6. Nh3 g6 
white: 61%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 a6 6. Be3 Be7 
white: 61%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nge2 Nge7 6. d4 cxd4 
white: 61%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nf3 g6 6. d4 cxd4 
white: 61%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2 d6 6. Nh3 g6 
white: 61%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 a6 5. Bg2 d6 6. Be3 Be7 
white: 61%, black: 27%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 a6 5. Bg2 g6 6. h4 h5 
white: 61%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 Nd4 6. Nh3 Nec6 
white: 61%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 d5 5. d3 d4 6. Nb1 Bd6 
white: 61%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 d6 5. Bg2 g6 6. d4 cxd4 
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 g6 5. d4
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 g6 5. d4
white: 60%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nh3 Qc7 
white: 60%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nh3 d6 
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 g6 5. d4 cxd4 
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 g6 5. d4 cxd4 
white: 60%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 Ng6 6. h4
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 Nd4 6. Nce2
white: 60%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nh3 d6 6. O-O
white: 60%, black: 26%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 Be7 6. h3
white: 60%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nge2 Be7 6. d4
white: 60%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 Ng6 6. h4
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 Nd4 6. Nce2
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 g6 5. d4 cxd4 6. Nxd4
white: 60%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 a6 5. Bg2 g6 6. h4
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 g6 5. d4 cxd4 6. Nxd4
white: 60%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. f4 d6 6. Nh3 Be7 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 d6 6. h4 h6 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 d6 6. d4 b6 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. f4 Bg7 6. e5 f6 
white: 60%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 d6 6. Be3 Nd4 
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. d3 g6 6. Be3 b6 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 g6 6. h4 h6 
white: 60%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 Nge7 6. Be3 Nd4 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nge2 g6 6. d4 b6 
white: 60%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nge2 Be7 6. O-O h5 
white: 60%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. Nf3 Be7 6. d4 cxd4 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 d6 6. h4 h6 
white: 60%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 a6 5. Bg2 g6 6. Be3 b6 
white: 60%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 d6 6. Be3 Nd4 
white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. f4 g6 5. Bg2 Bg7 6. e5 f6 
white: 60%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 d6 5. Bg2 Be7 6. d4 cxd4 
