white: 59%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 e6 6. f4
white: 59%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 Nc6 6. Bg5
white: 59%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. f4 Nf6 6. Bd3
white: 58%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Ne2 Bd6 
white: 58%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Nb4 
white: 58%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. f4 g6 
white: 58%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 Qc7 6. Ne2
white: 58%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Bf4 a6 6. c3
white: 58%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3 Nc6 6. h3
white: 58%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. h3 Nc6 6. c3
white: 58%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. c5 e6 6. Bb5+
white: 58%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. c5 Nf6 6. Bb5+
white: 58%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 e5 6. Be3
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. f4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. h3
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3 dxc4 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 Nc6 
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 g6 5. Nf3 Bg7 6. Bf4
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 g6 5. Bf4 Bg7 6. Nf3
white: 57%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 6. Ne2
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Nb4 6. Qa4+
white: 57%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nc6 5. f4 e6 6. Nf3
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Bd6 6. Bg3
white: 57%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Nf6 6. Nd2
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 e6 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 a6 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3 Nf6 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. h3 Nf6 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nc6 5. f4 e6 
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 e6 
white: 56%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 e6 6. Bf4
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Bf4 Qb6 6. Ne2
white: 56%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Bf4 Nf6 6. c3
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. c5 Nc6 6. Bb5
white: 56%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nc6 5. Bb5 Bg4 6. c4
white: 56%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Nf6 5. Bd3 e6 6. Bf4
white: 56%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Nf6 6. Bd3
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 a6 5. Nf3 Bf5 6. Bf4
white: 56%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 a6 5. Bf4 Bf5 6. Nf3
white: 55%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. c3
white: 55%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3
white: 55%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bd3
white: 55%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. h3 Nc6 
white: 55%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4 e6 
white: 55%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4 Nc6 
white: 55%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Nf6 
white: 55%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. Ne2 Bg4 6. Nbc3
white: 55%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 e6 6. Bf4
white: 55%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Bf4 Bg4 6. Qc1
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Bd6 6. c3
white: 55%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 a6 5. c3 Nf6 6. Bf4
white: 55%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3 e6 6. c5
white: 55%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nc6 6. c5
white: 55%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 a6 6. c5
white: 55%, black: 40%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. c5 Nc6 6. Nc3
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 a6 6. Bxc4
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. Bd3 Bd6 6. c3
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3 Bd6 6. Bd3
white: 55%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4 e6 6. Nc3
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 Bd6 6. Bd3
white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. f4 Nf6 6. Nf3
white: 55%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 a6 5. Nf3 Bf5 6. Ne5
