white: 64%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. dxc5 dxc5 6. Qxd8+
white: 64%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 Qb6 6. Ba4
white: 64%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 d5 6. dxc5
white: 64%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 d5 6. Bxc6+
white: 63%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nf6 5. Bxc6
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. dxc5
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. dxc5 dxc5 
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. d4 Qb6 6. Be2
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 cxd4 6. Be2
white: 63%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. Na3 d4 6. b3
white: 63%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 g6 5. Bb5 d4 6. d3
white: 63%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 Nxe4 5. d5 Nb8 6. Bf4
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 cxd4 6. Be2
white: 63%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nf6 5. Bxc6 dxc6 6. e5
white: 63%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bd3 Nf6 5. Bc2 e5 6. h3
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. Qe2 Be7 6. a4
white: 63%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. O-O h6 6. Qb3
white: 63%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 e5 5. d4 cxd4 6. cxd4
white: 62%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 d5 5. Qe2
white: 62%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Bd6 5. O-O Qc7 
white: 62%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 e5 5. d4 cxd4 
white: 62%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bd3 d5 5. exd5 Qxd5 
white: 62%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4 e6 6. h3
white: 62%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. O-O e5 6. Bb5
