games: 84, white: 67%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. dxc5 Qc7 8. Qe2 a5 9. O-O Bxc5 
games: 43, white: 67%, black: 27%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O Bd7 8. dxc5 Qxc5 9. Re1 Ng6 
games: 43, white: 67%, black: 27%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. dxc5 Qxc5 8. O-O Bd7 9. Re1 Ng6 
games: 15, white: 66%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O Bd7 8. Qe2 a6 9. Bf4
games: 15, white: 66%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O cxd4 8. Qe2 a6 9. Bf4
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O Nge7 8. a3 Nf5 9. dxc5
games: 15, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. a3 a5 8. O-O cxd4 9. Bc2
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. O-O Nf5 8. a3 Bd7 9. dxc5
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. dxc5 Bxc5 8. O-O O-O 9. b4
games: 15, white: 66%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. a3 Bd7 8. Bc2 Be7 9. b4
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O Bd7 8. a3 Nf5 9. dxc5
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. O-O Nf5 8. a3 Bd7 9. dxc5
games: 15, white: 66%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nge7 7. a3 Ng6 8. O-O c4 9. Bc2
games: 39, white: 66%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. cxd4 Nb4 8. Be2 Ne7 9. a3 Nbc6 
games: 12, white: 66%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Nh6 7. dxc5 Bxc5 8. O-O O-O 9. b4 Be7 
games: 27, white: 66%, black: 29%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 f6 7. O-O fxe5 8. Nxe5 Nf6 9. Bg5 Be7 
games: 20, white: 65%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O Nge7 8. dxc5 Qc7 9. Bf4
